ID,Type,Subject,Text,Image,Option1,Option2,Option3,Option4,Answer
"61585dd119a9dd0534fe33df","Text","English","Read the following paragraph and answer the questions

The Indian Premier League (IPL) is a professional Twenty 20 cricket league in India contested during April and May of every year by 8 teams representing 8 cities of India. The league was founded by the Board of Control for Cricket in India (BCCI) in 2008, and is regarded as the brainchild of Lalit Modi, the founder and former commissioner of the league.
The IPL is the most-attended cricket league in the world and in 2014 ranked sixth by average attendance among all sports leagues. In 2010, the IPL became the first sporting event in the world to be broadcast live on YouTube. The brand value of IPL in 2018 was US$6.3 billion, according to Duff & Phelps. According to BCCI, the 2015 IPL season contributed ₹11.5 billion (US$182 million) to the GDP of the Indian economy.
There have been twelve seasons of the IPL tournament. The current IPL title holders are the Mumbai Indians, who won the 2019 season.


According to Duff & Phelps, the brand value of IPL in 2018 was","http://localhost:9000/images/undefined","US$6.3 billion  ","US$6.33 billion  ","US$6.333 billion   ","None of these","A"
"61585dda19a9dd0534fe33e2","Image","Coding and Aptitude","undefined","http://localhost:9000/images/a8da4ee9-3416-469e-89ba-1615ceb1db19.png","A","B","C","D","C"
"61585e1a19a9dd0534fe33e5","Text","English","
Read the following paragraph and answer the questions
The Indian Premier League (IPL) is a professional Twenty 20 cricket league in India contested during April and May of every year by 8 teams representing 8 cities of India. The league was founded by the Board of Control for Cricket in India (BCCI) in 2008, and is regarded as the brainchild of Lalit Modi, the founder and former commissioner of the league.
The IPL is the most-attended cricket league in the world and in 2014 ranked sixth by average attendance among all sports leagues. In 2010, the IPL became the first sporting event in the world to be broadcast live on YouTube. The brand value of IPL in 2018 was US$6.3 billion, according to Duff & Phelps. According to BCCI, the 2015 IPL season contributed ₹11.5 billion (US$182 million) to the GDP of the Indian economy.
There have been twelve seasons of the IPL tournament. The current IPL title holders are the Mumbai Indians, who won the 2019 season.

. The current IPL title holders are the …... who won the 2019 season.","http://localhost:9000/images/undefined","CSK   ","MI","KKR","None of these","B"
"61585e5919a9dd0534fe33e9","Text","English","Read the following paragraph and answer the questions
The Indian Premier League (IPL) is a professional Twenty 20 cricket league in India contested during April and May of every year by 8 teams representing 8 cities of India. The league was founded by the Board of Control for Cricket in India (BCCI) in 2008, and is regarded as the brainchild of Lalit Modi, the founder and former commissioner of the league.
The IPL is the most-attended cricket league in the world and in 2014 ranked sixth by average attendance among all sports leagues. In 2010, the IPL became the first sporting event in the world to be broadcast live on YouTube. The brand value of IPL in 2018 was US$6.3 billion, according to Duff & Phelps. According to BCCI, the 2015 IPL season contributed ₹11.5 billion (US$182 million) to the GDP of the Indian economy.
There have been twelve seasons of the IPL tournament. The current IPL title holders are the Mumbai Indians, who won the 2019 season.

. In ……….. year IPL ranked as sixth by average attendance among all sports leagues.
","http://localhost:9000/images/undefined","2018","2014","2017","2019","B"
"61585e8419a9dd0534fe33ec","Text","General Knowledge","How many days are there in a year?","http://localhost:9000/images/undefined","365","366","364","360","A"
"61585ec819a9dd0534fe33ef","Text","General Knowledge","The national bird of our county is ………….","http://localhost:9000/images/undefined","pigeon	","peacock	"," parrot","None of these","B"
"61585f0319a9dd0534fe33f3","Text","Science & Mathematics","Lime contains……………. Acid","http://localhost:9000/images/undefined","Chloric","Sulphuric ","Citric","None of these","C"
"61585f0519a9dd0534fe33f6","Text","General Knowledge","Who was the first woman finance minister of India………….?","http://localhost:9000/images/undefined","Nirmala Sitharaman	","Sarojini Naidu","Mother Teresa 	","Annie Besant","A"
"61585f4519a9dd0534fe33f9","Text","Science & Mathematics","Acid found in Milk is …………….","http://localhost:9000/images/undefined","Citric","Lactic","Sulphuric","None of these","B"
"61585f8719a9dd0534fe33fc","Text","Science & Mathematics","Moon is bright due to its own light ","http://localhost:9000/images/undefined","True","False","Both","None of these","B"
"61585faf19a9dd0534fe3400","Text","General Knowledge","Founder of Microsoft are………………..","http://localhost:9000/images/undefined","Bill gates	","Paul Allen	","both",". none of these","B"
"61585fbe19a9dd0534fe3404","Text","Science & Mathematics","There are08 planets are in the solar system? ","http://localhost:9000/images/undefined","True","False","Both","None of these","A"
"61585ff019a9dd0534fe3407","Text","General Knowledge",". Which is the smallest state of India?","http://localhost:9000/images/undefined","Goa ","Delhi"," Rajasthan","Maharashtra","B"
"6158600619a9dd0534fe340a","Text","Science & Mathematics","…………… planet has a ring.","http://localhost:9000/images/undefined","Pluto","Neptune ","Mars","Saturn","D"
"6158604e19a9dd0534fe340d","Text","General Knowledge"," The Prime Minister of India is ………………","http://localhost:9000/images/undefined","Vajpayee","Pranab Mukherjee","Manmohan Singh","Narendra Modi","D"
"6158605819a9dd0534fe3410","Text","Science & Mathematics","Bulb filament is made of …………….","http://localhost:9000/images/undefined","vanadium","Sodium ","Tungsten","None of these","C"
"6158609819a9dd0534fe3414","Text","General Knowledge","GST stands for……………..","http://localhost:9000/images/undefined","goods and service tax ","goods and sense tax","good and service tax","none of these","A"
"615860a619a9dd0534fe3418","Text","Science & Mathematics","…………….. Is the best conductor of electricity?","http://localhost:9000/images/undefined","plastic","rubber","Wood","Copper","D"
"615860c119a9dd0534fe341b","Text","General Knowledge","Swachh Bharat mission was started in the year ……………… ","http://localhost:9000/images/undefined","2016","2014","2008","2011","A"
"615860ff19a9dd0534fe341e","Text","Science & Mathematics","H2O is ……………….","http://localhost:9000/images/undefined","Acid","Water","Gas","alkaline","B"
"6158610319a9dd0534fe3421","Text","General Knowledge",". Vallabhai Patel’s tallest statue is named as …………………………………………..","http://localhost:9000/images/undefined","Statue of peace","Statue of mind","Statue of unity"," Statue of color","C"
"6158612119a9dd0534fe3424","Text","General Knowledge",". Our solar system has …………. planets      ","http://localhost:9000/images/undefined","8","7","10","11","B"
"6158615419a9dd0534fe3427","Text","Science & Mathematics","Which is the planet closest to the earth?","http://localhost:9000/images/undefined","Pluto","Moon ","Sun","Mars","D"
"6158629419a9dd0534fe342b","Image","Technical Reasoning","undefined","http://localhost:9000/images/e221f900-8f59-490e-bacf-1d100cfcf088.png","A","B","","","B"
"6158631219a9dd0534fe342e","Image","Technical Reasoning","undefined","http://localhost:9000/images/8d2865c4-d68a-4e34-bca5-052601a629ce.png","A","B","","","B"
"615863a119a9dd0534fe3432","Text","Science & Mathematics","Which of the following is not used in pencils?","http://localhost:9000/images/undefined","phosphorus","charcoal ","Silicon ","All","D"
"6158642e19a9dd0534fe3436","Image","Technical Reasoning","undefined","http://localhost:9000/images/ad7bb463-52a5-4dc9-8016-4bd9c5ab0445.PNG","A","B","","","A"
"6158644819a9dd0534fe3439","Text","Science & Mathematics","1 cm is equal to ………………..mm.","http://localhost:9000/images/undefined","100","10","1000","None of these","B"
"615864b619a9dd0534fe343c","Text","Technical Reasoning","A magnet has ………….. and................. poles.","http://localhost:9000/images/undefined","south and south	","South and north","North and East","","B"
"615864c119a9dd0534fe3440","Text","Science & Mathematics","1 Metre is equal to ……………… millimeters","http://localhost:9000/images/undefined","100","1000 ","1","01","B"
"6158652a19a9dd0534fe3443","Image","Science & Mathematics","undefined","http://localhost:9000/images/480ee5a2-eae8-45df-aa2b-04fd57939e57.png","A","B","C","D","C"
"6158654c19a9dd0534fe3447","Image","Technical Reasoning","undefined","http://localhost:9000/images/3e9776a9-e23f-45ed-9ed3-d464ca79a355.PNG","A","B","C","D","A"
"6158659219a9dd0534fe344a","Image","Technical Reasoning","undefined","http://localhost:9000/images/d817b8eb-bcf7-4b46-8f63-bc822dbe2ce1.PNG","A","B","","","A"
"615865b619a9dd0534fe344e","Image","Science & Mathematics","undefined","http://localhost:9000/images/094fcf83-4aea-4a97-bc42-40cc4dfe1d50.png","A","B","C","D","C"
"615865d019a9dd0534fe3451","Image","Technical Reasoning","undefined","http://localhost:9000/images/3147dd55-c64c-46fc-bd81-e2e91c65ed9d.PNG","A","B","","","B"
"6158661a19a9dd0534fe3455","Image","Technical Reasoning","undefined","http://localhost:9000/images/b7d74a2d-6770-4f8b-b9d3-f1b65039f8b5.PNG","A","B","C","","C"
"6158665b19a9dd0534fe3458","Image","Technical Reasoning","undefined","http://localhost:9000/images/687ed350-3643-4da7-a1cd-01566d1f30db.PNG","A","B","","","B"
"615867bd19a9dd0534fe345c","Image","Science & Mathematics","undefined","http://localhost:9000/images/45a5b990-6e75-4faf-9f91-c8e71964fa4a.png","A","B","C","D","C"
"6158686719a9dd0534fe3460","Image","Technical Reasoning","undefined","http://localhost:9000/images/80e1423f-4759-41c0-85df-543dd759684f.PNG","A","B","C","D","A"
"6158689019a9dd0534fe3464","Text","Science & Mathematics","A triangle whose all 3 sides are equal is called as ","http://localhost:9000/images/undefined","Isosceles triangle ","Obtuse angle triangle","Equilateral triangle","Right angle triangle","C"
"615868c119a9dd0534fe3467","Image","Technical Reasoning","undefined","http://localhost:9000/images/a7dca466-765b-4947-bc69-5271f346ff56.PNG","A","B","C","D","C"
"6158691c19a9dd0534fe346a","Text","Science & Mathematics","50% of 1500 is …………….","http://localhost:9000/images/undefined","1500","750","60","80","B"
"6158692119a9dd0534fe346e","Image","Technical Reasoning","undefined","http://localhost:9000/images/4b3138be-2545-4319-acc7-9aed919099a7.PNG","A","B","C","D","B"
"6158697e19a9dd0534fe3471","Image","Technical Reasoning","undefined","http://localhost:9000/images/32069b21-5a69-49ff-b146-761f406b4788.PNG","A","B","C","D","C"
"615869a819a9dd0534fe3475","Text","Science & Mathematics","The number of milliliters in 1 litre is","http://localhost:9000/images/undefined","100 ","10.00","0.1 ","1000","D"
"615869cd19a9dd0534fe3478","Image","Technical Reasoning","undefined","http://localhost:9000/images/771ab4de-9119-40f3-9f90-3b83c37821e4.PNG","A","B","C","D","C"
"61586c1119a9dd0534fe347c","Text","Science & Mathematics","Square root of 144 is …………………..","http://localhost:9000/images/undefined","11","12","10","9","B"
"61586c3819a9dd0534fe347f","Text","Science & Mathematics","A pentagonconsists of …………. Faces.","http://localhost:9000/images/undefined","5","6","8","4","A"
"61586d6219a9dd0534fe3483","Text","English","I am very …………. to meet you","http://localhost:9000/images/undefined","delight","delighting","delighted","to delight","C"
"61586d9c19a9dd0534fe3486","Text","English","We had our house………….white.","http://localhost:9000/images/undefined","Paints","Painting","Painted","Paint","C"
"61586dc619a9dd0534fe3489","Text","English","She is………….in the garden","http://localhost:9000/images/undefined","walking ","to walk	","walked ","walk  ","A"
"61586df119a9dd0534fe348c","Text","English","My house is as …………. as your house ","http://localhost:9000/images/undefined","bigges","big","bigger","the biggest","B"
"61586e1a19a9dd0534fe3490","Text","English","We were caught ………….a showers on our way home","http://localhost:9000/images/undefined","in ","by ","at ","with","A"
"61586e4e19a9dd0534fe3493","Text","English","06.	My name …………. S Shyam. (is/was/the)","http://localhost:9000/images/undefined","A","B","C","","A"
"61586e6719a9dd0534fe3496","Text","English","07.	I am ……………. Mysore. (for/from/on)","http://localhost:9000/images/undefined","A","B","C","","B"
"61586e9719a9dd0534fe3499","Text","English","08.	I …………… completed 10th standard. (had/have/been)","http://localhost:9000/images/undefined","A","B","C","","B"
"61586eb919a9dd0534fe349c","Text","English","09.	………… Kendriya Vidyalaya. (from/of/about)","http://localhost:9000/images/undefined","A","B","C","","A"
"61586eda19a9dd0534fe34a0","Text","English","10.	There are 3000 students studying ……..my school. (on/at/in)","http://localhost:9000/images/undefined","A","B","C","","C"
"61586f1619a9dd0534fe34a3","Text","General Knowledge","The capital city of India is………….","http://localhost:9000/images/undefined","Bangalore","Lucknow","Delhi","Bombay","C"
"61586f4119a9dd0534fe34a6","Text","General Knowledge","The national game of Indiais ………….","http://localhost:9000/images/undefined","Kabaddi","Cricket","Hockey","Kho Kho","C"
"61586f6e19a9dd0534fe34a9","Text","General Knowledge","Who was the first woman president of India………….?","http://localhost:9000/images/undefined","Sarojini Naidu","Mother Teresa","Prathiba Patil","Annie Besant","C"
"61586f9f19a9dd0534fe34ad","Text","General Knowledge","Who is called as ‘Iron man of India………….","http://localhost:9000/images/undefined","Sardar Patel","V.P. Singh	","M K Gandhi     ","Motilal Nehru  ","A"
"61586fdb19a9dd0534fe34b0","Text","General Knowledge","Which scientist discovered the radioactive element Radium?","http://localhost:9000/images/undefined","Albert Einstein","Benjamin Franklin ","Marie Curie","Isaac Newton","C"
"6158700219a9dd0534fe34b3","Text","General Knowledge","Green color in leaves is due to the presence of ………………    ","http://localhost:9000/images/undefined","Chlorophyll","Butene","Prophyl ","Methane","A"
"6158703a19a9dd0534fe34b6","Text","General Knowledge","Who is called as Lady with the Lamp?","http://localhost:9000/images/undefined","Indira Gandhi","Rani Laxmibai","Florence Nightingale","Annie Besant","C"
"6158706319a9dd0534fe34ba","Text","General Knowledge","The rover which landed on Mars is…………………    ","http://localhost:9000/images/undefined","Diversity","Animosity","Porosity","Curiosity ","D"
"6158709419a9dd0534fe34bd","Text","General Knowledge","The animal with the longest life span is","http://localhost:9000/images/undefined","Elephant","Ant","Tortoise"," Tiger","C"
"615870b919a9dd0534fe34c0","Text","General Knowledge","On which planet do we live?","http://localhost:9000/images/undefined","mercury","earth","mars","none","A"
"6158716619a9dd0534fe34c4","Image","Technical Reasoning","undefined","http://localhost:9000/images/ff1a7375-2ae3-4c19-93c2-3b34b4291b21.png","c/w slower","anti c/w faster","c/w faster ","anti c/w same","C"
"6158719d19a9dd0534fe34c7","Image","Technical Reasoning","undefined","http://localhost:9000/images/efbc3fa9-e774-4f97-bb2a-7a393573eabe.png","A","B","C","D","D"
"615871e819a9dd0534fe34ca","Image","Technical Reasoning","undefined","http://localhost:9000/images/277b5574-d032-4ccd-a13a-80dffee531bb.png","A","B","C","D","A"
"6158728219a9dd0534fe34ce","Image","Technical Reasoning","undefined","http://localhost:9000/images/44e5a6c0-7d15-48d5-845f-7816167fbbb6.png","A","B","C","","B"
"615872e019a9dd0534fe34d1","Image","Technical Reasoning","undefined","http://localhost:9000/images/8a1d8d81-c66c-4b43-9d2e-38167cca86c3.png","A","B","","","A"
"6158733419a9dd0534fe34d4","Image","Technical Reasoning","undefined","http://localhost:9000/images/902578aa-bf9a-4b5e-b837-697b7400854f.png","A","B","","","B"
"6158737a19a9dd0534fe34d8","Image","Technical Reasoning","undefined","http://localhost:9000/images/74a97f9b-0b5d-49b1-969f-743b89f52648.png","A","B","","","A"
"615873bc19a9dd0534fe34db","Image","Technical Reasoning","undefined","http://localhost:9000/images/a83a1c83-5eed-4f16-85f0-ec886dd67ec4.png","A","B","","","B"
"6158747319a9dd0534fe34df","Image","Technical Reasoning","undefined","http://localhost:9000/images/8abc1600-2e15-40ed-a20f-665304a17c9a.png","A","B","","","B"
"615874c719a9dd0534fe34e2","Image","Technical Reasoning","undefined","http://localhost:9000/images/eb8588ff-e827-4182-a315-2878b1d9cac1.png","A","B","","","A"
"6158752219a9dd0534fe34e5","Image","Coding and Aptitude","undefined","http://localhost:9000/images/ab52d6d3-200b-4045-a8ef-f8234929a966.png","A","B","C","D","A"
"6158755919a9dd0534fe34e9","Image","Coding and Aptitude","undefined","http://localhost:9000/images/5987745b-fed7-4f01-ae72-2dea3a0bcebe.png","A","B","C","D","B"
"6158759519a9dd0534fe34ec","Image","Coding and Aptitude","undefined","http://localhost:9000/images/ccc14ed8-d1c6-47b1-9e5c-3f1e3936308d.png","A","B","C","D","D"
"615875e319a9dd0534fe34ef","Image","Coding and Aptitude","undefined","http://localhost:9000/images/8d4269f8-2f3e-4b2f-a7bb-b14fa0771490.png","A","B","C","D","C"
"6158765319a9dd0534fe34f3","Image","Coding and Aptitude","undefined","http://localhost:9000/images/4ddd0ce1-b345-4432-a9fd-39948aa14060.png","A","B","C","D","A"